time raw_flux bkg_flux res_flux "position angle"
55953.78824456 186759.6892285347 4286.042904756963 182473.64632377774 225.0
55953.78962197 186699.22220861912 4273.117573019117 182426.1046356 225.0
55953.79099937 186735.34115350246 4272.489149913192 182462.85200358927 225.0
55953.79237641 186645.44599854946 4283.655528448522 182361.79047010094 225.0
55953.79375382 186705.52614438534 4283.659630611539 182421.8665137738 225.0
55953.79513123 186672.22203445435 4273.461381666362 182398.76065278798 225.0
55953.79650863 186690.84423816204 4257.3998888731 182433.44434928894 225.0
55953.82999234 187033.9498758316 5463.868734508753 181570.08114132285 225.0
55953.83136974 187087.49602079391 5159.89142626524 181927.60459452868 225.0
55953.83274678 186945.00805950165 4918.24385009706 182026.7642094046 225.0
55953.83412419 186747.41478085518 4668.856830783188 182078.557950072 225.0
55953.8355016 186476.10187768936 4468.451806008816 182007.65007168055 225.0
55953.836879 186496.3944183588 4354.3712136000395 182142.02320475876 225.0
55953.83825604 186510.9029687643 4362.760455057025 182148.14251370728 225.0
55953.83963345 186553.80138623714 4319.619156882167 182234.18222935498 225.0
55953.84101085 186548.4366388321 4312.163301408291 182236.2733374238 225.0
55953.84238826 186476.90131223202 4309.873637728393 182167.02767450362 225.0
55953.8437653 186544.83340525627 4292.494922235608 182252.33848302066 225.0
55953.84514271 186500.39645648003 4287.997558578849 182212.39889790118 225.0
55953.84652011 186526.60965311527 4282.280978888273 182244.328674227 225.0
55953.84789752 186489.1669381857 4268.06022503227 182221.10671315342 225.0
55953.84927456 186466.52271187305 4270.823897302151 182195.6988145709 225.0
55953.85065197 186509.44409573078 4276.006266102195 182233.4378296286 225.0
55953.85202937 186575.86247742176 4285.108671482652 182290.7538059391 225.0
55953.85340678 186569.5528664589 4262.5618256777525 182306.99104078114 225.0
55953.85478382 186443.37237226963 4262.818981662393 182180.55339060724 225.0
55953.85616123 186543.537206769 4263.060346379876 182280.4768603891 225.0
55953.85753863 186527.2508455515 4287.799963310361 182239.45088224113 225.0
55953.85891604 186498.05874168873 4274.194644287229 182223.8640974015 225.0
55953.86029308 186510.33619070053 4296.086388127878 182214.24980257265 225.0
55953.86167048 186599.38025557995 4268.984708826989 182330.39554675296 225.0
55953.86304789 186511.2367026806 4295.310465142131 182215.92623753846 225.0
55953.89652011 187321.08516669273 5785.650102496147 181535.4350641966 225.0
55953.89789752 187389.7689487934 5436.426696419716 181953.3422523737 225.0
55953.89927456 187073.02635669708 5056.3500215262175 182016.67633517087 225.0
55953.90065197 186784.3724925518 4697.170777231455 182087.20171532035 225.0
55953.90202937 186574.56930601597 4450.559756189585 182124.00954982638 225.0
55953.90340678 186499.160004735 4383.082856878638 182116.07714785635 225.0
55953.90478382 186582.82707226276 4353.812737636268 182229.0143346265 225.0
55953.90616123 186552.46557176113 4355.237869337201 182197.22770242393 225.0
55953.90753863 186606.41339826584 4333.499560017139 182272.9138382487 225.0
55953.90891604 186544.46737730503 4303.442144930363 182241.02523237467 225.0
55953.91029308 186617.2134884596 4303.097769096494 182314.1157193631 225.0
55953.91167085 186616.76856815815 4282.546614959836 182334.2219531983 225.0
55953.91304789 186556.07936918736 4291.295820072293 182264.78354911506 225.0
55953.9144253 186434.1037737131 4293.7496527433395 182140.35412096977 225.0
55953.91580234 186673.54772388935 4274.662305235863 182398.8854186535 225.0
55953.91718011 186732.43353247643 4277.062660500407 182455.37087197602 225.0
55953.91855715 186636.2821444273 4300.999976605177 182335.28216782212 225.0
55953.91993456 186731.96994304657 4299.978257514536 182431.99168553203 225.0
55953.9213116 186782.67718064785 4297.469401687384 182485.20777896047 225.0
55953.92268937 186629.92948424816 4295.001722097397 182334.92776215076 225.0
55953.92406641 186665.10754835606 4287.045483008027 182378.06206534803 225.0
55953.92544382 186732.4157024622 4301.758401423693 182430.6573010385 225.0
55953.92682085 186654.8905453682 4285.600319955498 182369.2902254127 225.0
55953.92819863 186734.81896054745 4297.805676415563 182437.01328413188 225.0
55953.92957567 186680.07413125038 4274.669797763228 182405.40433348715 225.0
55962.74635857 184102.7377665043 4950.777387365699 179151.9603791386 225.0
55962.74773597 184883.0430071354 4672.990390777588 180210.0526163578 225.0
55962.74911338 185062.25658416748 4458.490175455809 180603.76640871167 225.0
55962.75049042 185241.68150925636 4351.764465250075 180889.9170440063 225.0
55962.75186782 185453.13130640984 4309.13469979912 181143.99660661072 225.0
55962.75324523 185524.94146752357 4291.349216707051 181233.59225081652 225.0
55962.75462264 185531.6713385582 4257.6853099018335 181273.98602865636 225.0
55962.75599968 185681.33971381187 4250.410945057869 181430.928768754 225.0
55962.75737708 185667.74359440804 4236.2525199353695 181431.49107447267 225.0
55962.75875449 185777.85964274406 4244.250941336155 181533.6087014079 225.0
55962.7601319 185746.69179415703 4238.614953828044 181508.07684032898 225.0
55962.76150894 185869.02060198784 4215.486184000969 181653.53441798687 225.0
55962.76288634 185790.22127962112 4210.725170716643 181579.49610890448 225.0
55962.76426375 185891.56434309483 4220.206631958485 181671.35771113634 225.0
55962.76564116 185930.06304121017 4205.453978650272 181724.6090625599 225.0
55962.7670182 185992.55743467808 4239.944772228599 181752.61266244948 225.0
55962.7683956 185942.21944630146 4227.261012509465 181714.958433792 225.0
55962.76977301 186010.86827909946 4222.883466981351 181787.9848121181 225.0
55962.77115042 185930.09689581394 4213.313705570996 181716.78319024295 225.0
55962.77252745 186073.00974333286 4235.3363797701895 181837.67336356267 225.0
55962.77390486 186030.48932504654 4225.751904964447 181804.7374200821 225.0
55962.77528227 186243.03312718868 4350.040909968317 181892.99221722037 225.0
55962.77665968 186089.87752139568 4264.11817625165 181825.75934514403 225.0
55962.81030523 187279.74207091331 6081.702762898058 181198.03930801526 225.0
55962.81168264 187020.65986156464 5419.346681840718 181601.31317972392 225.0
55962.81306005 186563.7574942112 4974.579753026366 181589.17774118483 225.0
55962.81443745 186354.1401834488 4655.9683005176485 181698.17188293114 225.0
55962.81581449 186158.73307955265 4445.595952183008 181713.13712736964 225.0
55962.8171919 186176.00964963436 4377.981107905507 181798.02854172885 225.0
55962.81856931 186011.10464656353 4292.504599571228 181718.6000469923 225.0
55962.81994671 186137.3639832735 4293.716500043869 181843.64748322964 225.0
55962.82132375 186085.28010118008 4273.002000913024 181812.27810026705 225.0
55962.82270116 186111.67362701893 4246.854323074222 181864.8193039447 225.0
55962.82407857 186142.10146272182 4243.220140695572 181898.88132202625 225.0
55962.82545597 186101.96976947784 4227.870948381722 181874.09882109612 225.0
55962.82683301 186211.18927001953 4213.043497771025 181998.1457722485 225.0
55962.82821042 186070.7090381384 4225.802377969027 181844.90666016936 225.0
55962.82958782 186158.84147441387 4211.935277414508 181946.90619699936 225.0
55962.83096523 186200.24080121517 4226.395732790232 181973.84506842494 225.0
55962.83234227 186135.3307930231 4222.4101589769125 181912.9206340462 225.0
55962.83371968 186167.6664482355 4248.986032180488 181918.68041605502 225.0
55962.83509708 186206.77277576923 4221.117403037846 181985.6553727314 225.0
55962.83647449 186113.233797431 4237.493208631873 181875.74058879912 225.0
55962.83785153 186188.31660997868 4225.868836596608 181962.44777338207 225.0
55962.83922894 186178.77671205997 4225.205008789897 181953.57170327008 225.0
55962.84060634 186211.61757171154 4225.930921666324 181985.68665004522 225.0
55962.84198375 186076.13626742363 4227.235895708203 181848.90037171543 225.0
55962.84336079 186197.53745806217 4238.231997326016 181959.30546073616 225.0
55962.87683301 187409.0173521042 6193.6289592683315 181215.38839283586 225.0
55962.87821042 187102.6612892151 5558.522191271186 181544.1390979439 225.0
55962.87958782 186592.44597947598 5076.898283749819 181515.54769572616 225.0
55962.88096523 186258.1422815323 4653.334918215871 181604.80736331642 225.0
55962.88234227 185979.85288012028 4401.929200232029 181577.92367988825 225.0
55962.88371968 186011.53923296928 4370.307499002665 181641.23173396662 225.0
55962.88509708 186026.12166202068 4317.251102387905 181708.87055963278 225.0
55962.88647449 186036.4918460846 4318.890739604831 181717.60110647976 225.0
55962.88785153 185943.06476199627 4274.893727593124 181668.17103440315 225.0
55962.88922894 185953.01633799076 4250.479541286826 181702.53679670393 225.0
55962.89060634 186043.03057426214 4245.884160988033 181797.1464132741 225.0
55962.89198375 185965.3451281786 4217.5794242993 181747.7657038793 225.0
55962.89336079 186085.13139557838 4238.649338018149 181846.48205756024 225.0
55962.8947382 185932.9238921404 4247.225846923888 181685.6980452165 225.0
55962.8961156 185984.7440429926 4239.2308081537485 181745.51323483884 225.0
55962.89749301 186033.37515205145 4217.526143066585 181815.84900898486 225.0
55962.89887005 185956.7871580124 4227.423148743808 181729.36400926858 225.0
55962.90024745 186105.41206645966 4220.059034079313 181885.35303238034 225.0
55962.90162486 185956.3089888096 4221.434099107981 181734.8748897016 225.0
55962.90300227 186031.46820485592 4221.215307913721 181810.2528969422 225.0
55962.90437931 186128.47724038363 4223.394688937813 181905.0825514458 225.0
55962.90575671 186047.0926195383 4238.839397192001 181808.2532223463 225.0
55962.90713412 186072.41917204857 4227.3659045398235 181845.05326750875 225.0
55962.90851153 186003.19158148766 4216.567395329475 181786.62418615818 225.0
55962.90988857 186112.64640665054 4264.128292188048 181848.5181144625 225.0
55962.94332634 187324.0852072239 6156.571694478393 181167.5135127455 225.0
55962.94470338 186961.49875330925 5504.82254755497 181456.67620575428 225.0
55962.94608079 186677.6534898281 5065.49559828639 181612.15789154172 225.0
55962.9474582 186470.89793038368 4756.981491431594 181713.9164389521 225.0
55962.9488356 186199.07806015015 4494.483877392951 181704.5941827572 225.0
55962.95021264 186023.1749290228 4349.537461638451 181673.63746738434 225.0
55962.95159005 186032.292501688 4306.046397969127 181726.24610371888 225.0
55962.95296745 186098.01330816746 4319.578271090984 181778.43503707647 225.0
55962.95434486 186124.807852149 4271.120522990823 181853.6873291582 225.0
55962.9557219 186069.85187244415 4290.206716373563 181779.6451560706 225.0
55962.95709931 186000.26217901707 4261.996537812054 181738.265641205 225.0
55962.95847671 186069.23839128017 4261.057260245085 181808.1811310351 225.0
55962.95985412 185999.79033350945 4226.271541886032 181773.5187916234 225.0
55962.96123116 185990.78428435326 4246.653243049979 181744.13104130328 225.0
55962.96260857 186107.25852549076 4230.452978849411 181876.80554664135 225.0
55962.96398597 186186.69887793064 4236.869406589307 181949.82947134133 225.0
55962.96536338 186050.57259464264 4224.221665725112 181826.35092891753 225.0
55962.96674042 186135.6183053255 4216.865193277597 181918.7531120479 225.0
55962.96811782 186257.79382169247 4226.10076059401 182031.69306109846 225.0
55962.96949523 186311.27885216475 4236.080639913678 182075.19821225107 225.0
55962.97087264 186286.89263522625 4228.517153546214 182058.37548168004 225.0
55962.97224968 186316.416102767 4226.030976757407 182090.38512600958 225.0
55962.97362708 186195.61273515224 4240.366629071534 181955.2461060807 225.0
55962.97500449 186201.72045743465 4229.44018805027 181972.28026938438 225.0
